gvkey,COMNAM,TICKER
61496,MILESTONE SCIENTIFIC INC,MLSS
1161,ADVANCED MICRO DEVICES INC,AMD
1690,APPLE INC,AAPL
29901,COPART INC,CPRT
148349,TRANSDIGM GROUP INC,TDG
117768,NVIDIA CORP,NVDA
165123,LEIDOS HOLDINGS INC,LDOS
141913,GLOBAL PAYMENTS INC,GPN
25340,D R HORTON INC,DHI
11399,WESTERN DIGITAL CORP,WDC
24975,SYNOPSYS INC,SNPS
165914,CHIPOTLE MEXICAN GRILL INC,CMG
139665,MOODYS CORP,MCO
13721,ZOETIS INC,ZTS
183377,FORTINET INC,FTNT
3362,CONAGRA BRANDS INC,CAG
13421,CADENCE DESIGN SYSTEMS INC,CDNS
160225,MASTERCARD INC,MA
138743,EQUINIX INC,EQIX
7343,MICRON TECHNOLOGY INC,MU
7163,S & P GLOBAL INC,SPGI
6669,LENNAR CORP,LEN
4517,NEXTERA ENERGY INC,NEE
61483,DAVITA INC,DVA
6774,LOCKHEED MARTIN CORP,LMT
170617,FACEBOOK INC,FB
7366,ENTERGY CORP NEW,ETR
179534,VISA INC,V
12540,ADOBE INC,ADBE
4423,EQUIFAX INC,EFX
6008,INTEL CORP,INTC
125595,AKAMAI TECHNOLOGIES INC,AKAM
9850,SOUTHERN CO,SO
1878,AUTODESK INC,ADSK
179437,AMERICAN WATER WORKS CO INC,AWK
1988,BALL CORP,BLL
121382,S B A COMMUNICATIONS CORP NEW,SBAC
165993,FIDELITY NATIONAL INFO SVCS INC,FIS
105365,AMERICAN TOWER CORP NEW,AMT
180652,VERISK ANALYTICS INC,VRSK
8272,SEMPRA ENERGY,SRE
7985,NORTHROP GRUMMAN CORP,NOC
27928,INTUIT INC,INTU
11550,W E C ENERGY GROUP INC,WEC
24197,I D E X X LABORATORIES INC,IDXX
11554,ALLIANT ENERGY CORP,LNT
24782,PERRIGO CO PLC,PRGO
7970,EVERSOURCE ENERGY,ES
24925,ROPER TECHNOLOGIES INC,ROP
113490,CROWN CASTLE INTL CORP NEW,CCI
7977,X C E L ENERGY INC,XEL
1440,AMERICAN ELECTRIC POWER CO INC,AEP
1447,AMERICAN EXPRESS CO,AXP
3439,C M S ENERGY CORP,CMS
260778,WELLCARE HEALTH PLANS INC,WCG
163610,INTERCONTINENTALEXCHANGE GRP INC,ICE
28790,LAMB WESTON HOLDINGS INC,LW
3504,COOPER COMPANIES INC,COO
5680,HOME DEPOT INC,HD
2086,BAXTER INTERNATIONAL INC,BAX
176928,BROADRIDGE FINANCIAL SOLUTNS INC,BR
17928,IQVIA HOLDINGS INC,IQV
24616,PAYPAL HOLDINGS INC,PYPL
66368,VERISIGN INC,VRSN
14477,WASTE MANAGEMENT INC DEL,WM
6338,EVERGY INC,EVRG
157855,SALESFORCE COM INC,CRM
160991,DIGITAL REALTY TRUST INC,DLR
61676,CITRIX SYSTEMS INC,CTXS
4383,ATMOS ENERGY CORP,ATO
6730,LILLY ELI & CO,LLY
17874,T MOBILE U S INC,TMUS
2710,CONSTELLATION BRANDS INC,STZ
2710,CONSTELLATION BRANDS INC,STZ
8455,P P L CORP,PPL
20748,ARISTA NETWORKS INC,ANET
160479,EXTRA SPACE STORAGE INC,EXR
1075,PINNACLE WEST CAPITAL CORP,PNW
7974,NISOURCE INC,NI
29751,ALBEMARLE CORP,ALB
9999,Test company,ABC
9998,Test company,ABC
9997,Test company,ABC
